model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.45,0.916818200115874
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.5,0.9630211376417854
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.55,1.0012524976194304
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.6,1.0334380864712616
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.65,1.085601607315462
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.7,1.1563465671230626
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.75,1.3076164626474909
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.8,1.4142541433571272
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.85,1.4864093924178863
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.9,1.6910905235272253
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.95,1.8488756429604754
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.975,2.037702150719505
nfidd-diff,US National,2016-03-12,3,2016-04-02,ili perc,quantile,0.99,2.223754586692598
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.01,0.3389540767603173
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.025,0.4434162510181086
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.05,0.5175729829687207
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.1,0.5992296291876036
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.15,0.6983454043446482
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.2,0.7115308494367826
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.25,0.773468694374447
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.3,0.8036930495389475
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.35,0.842910230236126
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.4,0.8938480859105633
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.45,0.9168182001601548
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.5,0.9630211376070661
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.55,1.001252497569148
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.6,1.0334380864895314
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.65,1.0856016073724315
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.7,1.156346567062102
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.75,1.3076164627644955
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.8,1.4142541432953362
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.85,1.4864093924587622
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.9,1.6910905235611011
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.95,1.848875643045342
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.975,2.037702150737124
nfidd-diff,US National,2016-03-12,4,2016-04-09,ili perc,quantile,0.99,2.223754586614519
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.01,0.338954076401808
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.025,0.4434162505757801
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.05,0.5175729825193676
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.1,0.5992296274505338
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.15,0.6983454038608818
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.2,0.7115308491899607
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.25,0.7734686940195283
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.3,0.8036930494129392
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.35,0.8429102301232416
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.4,0.8938480856275519
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.45,0.9168182001748412
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.5,0.9630211374619329
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.55,1.0012524974729726
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.6,1.033438086131333
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.65,1.0856016069275183
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.7,1.156346566939071
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.75,1.3076164622004818
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.8,1.4142541428371505
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.85,1.4864093904696087
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.9,1.6910905234502172
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.95,1.8488756420886974
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.975,2.0377021499736374
nfidd-diff,HHS Region 1,2016-03-12,1,2016-03-19,ili perc,quantile,0.99,2.2237545855159233
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.01,0.33895407640321207
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.025,0.4434162505567786
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.05,0.5175729825100825
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.1,0.5992296272874807
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.15,0.6983454037199974
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.2,0.7115308491878323
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.25,0.7734686940094776
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.3,0.8036930494677905
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.35,0.8429102301372504
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.4,0.8938480856450186
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.45,0.9168182001887559
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.5,0.9630211374500569
