origin_date,mean_wis,sd_wis,n,phase
2016-03-12,2.053108888910273,0.6449901902061367,44,peak
2017-02-25,1.2056843249784615,0.8531362382394783,44,peak
2015-11-14,0.6496381300192371,0.3486049982419116,44,pre-peak
